Date,Open,High,Low,Close,Volume,Adj Close
2016-02-15,1000.00,1046.00,1000.00,1042.45,183600,1042.45
2016-02-12,993.00,1006.00,970.60,995.65,481300,995.65
2016-02-11,1011.50,1018.00,970.00,982.80,259400,982.80
2016-02-10,1025.95,1032.50,1001.75,1017.45,192600,1017.45
2016-02-09,1045.50,1057.85,1018.00,1021.25,189000,1021.25
2016-02-08,1040.00,1068.00,1032.70,1050.90,244300,1050.90
2016-02-05,1060.00,1064.90,1026.15,1037.60,269200,1037.60
2016-02-04,1026.10,1065.20,1012.20,1048.15,504900,1048.15
2016-02-03,1013.00,1028.50,995.00,1012.00,302600,1012.00
2016-02-02,1036.00,1047.00,1024.00,1031.75,320000,1031.75
2016-02-01,1020.80,1047.00,976.00,1035.20,414600,1035.20
2016-01-29,992.95,1037.00,969.15,1020.80,1128000,1020.80
2016-01-28,1011.00,1020.00,976.90,984.10,330700,984.10
2016-01-27,1020.00,1023.65,992.25,1010.00,301600,1010.00
2016-01-26,1008.10,1008.10,1008.10,1008.10,000,1008.10
2016-01-25,1013.00,1024.50,1002.10,1008.10,172700,1008.10
2016-01-22,992.80,1009.00,975.55,1000.50,252000,1000.50
2016-01-21,1013.00,1029.00,968.60,974.75,369100,974.75
2016-01-20,1028.00,1028.00,988.00,1009.25,268500,1003.25
2016-01-19,1018.00,1043.00,1000.35,1035.15,189400,1028.996
2016-01-18,1068.00,1070.45,1008.85,1013.70,221900,1007.674
2016-01-15,1112.00,1112.00,1051.25,1058.40,170100,1052.108
2016-01-14,1109.00,1117.10,1087.70,1104.75,146400,1098.182
2016-01-13,1132.00,1138.90,1091.20,1122.30,282100,1115.628
2016-01-12,1134.00,1145.00,1121.70,1125.60,122700,1118.908
2016-01-11,1135.10,1148.00,1114.30,1127.85,178400,1121.145
2016-01-08,1137.00,1152.15,1132.05,1140.60,203100,1133.819
2016-01-07,1195.00,1195.00,1124.45,1132.05,257600,1125.32
2016-01-06,1198.85,1225.65,1197.05,1205.30,356100,1198.135
2016-01-05,1195.20,1201.95,1186.05,1195.80,165300,1188.691
2016-01-04,1198.00,1211.15,1183.65,1190.25,149500,1183.174
2016-01-01,1202.25,1214.95,1194.30,1202.65,132000,1195.50
2015-12-31,1193.65,1210.00,1193.65,1200.65,275100,1193.512
2015-12-30,1189.70,1209.30,1189.70,1193.65,164300,1186.554
2015-12-29,1200.00,1205.00,1186.50,1192.05,195000,1184.963
2015-12-28,1192.50,1204.10,1182.50,1197.85,138100,1190.729
2015-12-25,1192.80,1192.80,1192.80,1192.80,000,1185.709
2015-12-24,1204.35,1218.00,1189.10,1192.80,341100,1185.709
2015-12-23,1180.25,1204.40,1179.45,1201.15,282300,1194.009
2015-12-22,1180.25,1185.00,1172.40,1178.95,138000,1171.941
2015-12-21,1178.00,1191.35,1171.55,1175.45,124000,1168.462
2015-12-18,1180.00,1184.50,1171.15,1178.95,231400,1171.941
2015-12-17,1178.75,1191.50,1174.35,1179.50,248000,1172.488
2015-12-16,1173.00,1182.60,1163.00,1177.45,284000,1170.45
2015-12-15,1160.00,1173.80,1146.00,1161.75,255000,1154.843
2015-12-14,1141.00,1163.80,1131.10,1155.05,342100,1148.183
2015-12-11,1158.40,1162.00,1138.50,1145.50,352400,1138.69
2015-12-10,1146.10,1155.50,1121.10,1146.30,202500,1139.485
2015-12-09,1163.10,1171.90,1143.50,1148.75,230000,1141.921
2015-12-08,1180.00,1187.95,1163.25,1169.50,235900,1162.547
2015-12-07,1165.10,1189.15,1152.30,1176.95,343900,1169.953
2015-12-04,1180.00,1189.80,1160.00,1163.10,300400,1156.185
2015-12-03,1200.00,1213.55,1185.10,1190.75,284700,1183.671
2015-12-02,1230.10,1232.40,1208.10,1212.15,145800,1204.944
2015-12-01,1246.10,1250.05,1223.00,1227.15,172100,1219.855
2015-11-30,1225.00,1256.45,1213.35,1237.95,579300,1230.59
2015-11-27,1219.70,1237.00,1210.00,1229.35,241400,1222.041
2015-11-26,1208.10,1222.00,1202.00,1218.35,384000,1211.107
2015-11-25,1211.55,1211.55,1211.55,1211.55,000,1204.347
2015-11-24,1232.10,1247.20,1205.85,1211.55,246100,1204.347
2015-11-23,1245.30,1250.00,1230.50,1239.15,103300,1231.783
2015-11-20,1235.00,1259.05,1231.05,1240.05,193800,1232.678
2015-11-19,1224.00,1237.70,1220.00,1230.25,170900,1222.936
2015-11-18,1219.90,1231.80,1210.00,1217.25,130300,1210.013
2015-11-17,1243.20,1255.00,1204.00,1219.95,222000,1212.697
2015-11-16,1242.10,1259.10,1224.00,1236.70,236100,1229.348
2015-11-13,1238.50,1259.95,1225.90,1249.35,142000,1241.923
2015-11-12,1231.55,1231.55,1231.55,1231.55,000,1224.228
2015-11-11,1231.55,1231.55,1231.55,1231.55,000,1224.228
2015-11-10,1260.00,1260.00,1226.00,1231.55,137600,1224.228
2015-11-09,1230.00,1279.95,1215.40,1262.85,181200,1255.342
2015-11-06,1271.00,1284.50,1245.50,1258.30,149700,1250.819
2015-11-05,1307.00,1309.90,1267.60,1273.05,231300,1265.482
2015-11-04,1343.10,1359.60,1298.00,1302.90,262900,1295.154
2015-11-03,1314.15,1344.00,1314.00,1338.00,148300,1330.046
2015-11-02,1327.25,1334.65,1290.40,1314.65,164800,1306.834
2015-10-30,1361.00,1362.60,1317.55,1327.25,150900,1319.359
2015-10-29,1356.00,1370.00,1341.25,1357.20,223600,1349.131
2015-10-28,1379.00,1387.95,1350.50,1358.50,231300,1350.424
2015-10-27,1380.00,1396.40,1370.00,1385.45,192200,1377.213
2015-10-26,1371.20,1390.00,1358.00,1386.60,199300,1378.357
2015-10-23,1363.00,1375.00,1352.50,1371.05,218500,1362.899
2015-10-22,1349.45,1349.45,1349.45,1349.45,000,1341.427
2015-10-21,1358.00,1369.50,1321.00,1349.45,201500,1341.427
2015-10-20,1368.00,1382.00,1350.00,1356.65,207500,1348.585
2015-10-19,1380.00,1388.00,1361.00,1369.95,188500,1361.806
2015-10-16,1380.10,1389.95,1368.00,1381.75,285800,1373.535
2015-10-15,1380.00,1384.95,1371.20,1374.55,165000,1366.378
2015-10-14,1365.00,1375.00,1362.00,1369.70,117800,1361.557
2015-10-13,1371.00,1385.00,1346.05,1362.25,199700,1354.151
2015-10-12,1354.00,1375.00,1350.25,1370.00,204100,1361.855
2015-10-09,1367.00,1367.00,1329.55,1346.35,213500,1338.346
2015-10-08,1374.00,1377.00,1339.75,1344.45,214500,1336.457
2015-10-07,1380.00,1391.90,1370.20,1374.35,330000,1366.179
2015-10-06,1377.00,1379.55,1355.20,1369.65,249900,1361.507
2015-10-05,1353.00,1384.50,1352.10,1366.05,471400,1357.929
2015-10-02,1343.90,1343.90,1343.90,1343.90,000,1335.911
2015-10-01,1338.00,1354.40,1330.30,1343.90,357800,1335.911
2015-09-30,1307.25,1334.65,1290.35,1325.95,342400,1318.067
2015-09-29,1251.50,1311.50,1251.50,1284.30,247000,1276.665
2015-09-28,1291.00,1298.80,1261.55,1276.80,292100,1269.209
2015-09-25,1312.25,1312.25,1312.25,1312.25,000,1304.449
2015-09-24,1297.80,1317.50,1288.25,1312.25,199600,1304.449
2015-09-23,1277.00,1305.70,1260.00,1295.35,228900,1287.649
2015-09-22,1331.00,1340.15,1281.00,1288.55,314300,1280.89
2015-09-21,1284.70,1332.00,1277.10,1325.90,241200,1318.018
2015-09-18,1300.00,1325.00,1291.55,1296.75,295800,1289.041
2015-09-17,1290.30,1290.30,1290.30,1290.30,000,1282.629
2015-09-16,1295.70,1300.00,1273.75,1290.30,240500,1282.629
2015-09-15,1307.95,1313.00,1272.20,1283.85,292300,1276.217
2015-09-14,1292.80,1305.95,1275.00,1300.65,319000,1292.918
2015-09-11,1269.80,1284.70,1256.00,1276.10,495600,1268.514
2015-09-10,1224.80,1258.00,1185.20,1249.85,381700,1242.42
2015-09-09,1208.00,1237.00,1196.40,1232.70,318700,1225.372
2015-09-08,1160.55,1194.00,1145.55,1186.10,430700,1179.049
2015-09-07,1190.00,1194.00,1137.05,1142.85,393400,1136.056
2015-09-04,1203.10,1209.90,1162.00,1180.80,513600,1173.78
2015-09-03,1216.70,1232.50,1197.00,1206.70,439700,1199.526
2015-09-02,1275.00,1280.00,1192.40,1203.80,608200,1196.643
2015-09-01,1249.45,1266.20,1225.25,1244.00,402800,1236.604
2015-08-31,1275.00,1294.95,1259.80,1264.85,335600,1257.33
2015-08-28,1265.10,1323.00,1262.20,1280.10,537300,1272.49
2015-08-27,1262.00,1269.35,1214.55,1251.25,425500,1243.811
2015-08-26,1240.20,1271.90,1205.10,1218.00,411700,1210.759
2015-08-25,1250.70,1281.40,1105.65,1242.20,596200,1234.815
2015-08-24,1370.00,1370.00,1201.75,1226.60,625300,1219.308
2015-08-21,1410.00,1418.00,1390.00,1399.95,256900,1391.627
2015-08-20,1450.00,1474.00,1410.00,1415.70,375400,1407.284
2015-08-19,1447.00,1472.00,1425.00,1454.45,267500,1445.803
2015-08-18,1441.70,1455.00,1432.80,1437.60,210900,1429.053
